File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
data_memory.o,33.358376%,2220,4090,4074,0,16,2204
startup_gd32f450_470.o,30.773853%,2048,492,64,428,0,2048
mcu_cmic_gd32f470vet6.o,8.685199%,578,1578,1556,0,22,556
config_manager.o,8.534936%,568,2250,2210,32,8,560
usart_app.o,7.753569%,516,180,176,0,4,512
btn_app.o,2.945154%,196,976,766,14,196,0
c_w.l,1.442524%,96,10027,9476,551,0,96
libspace.o,1.442524%,96,8,8,0,0,96
perf_counter.o,1.202104%,80,744,660,4,80,0
scheduler.o,1.141999%,76,148,72,0,76,0
sdio_sdcard.o,0.961683%,64,6080,6048,0,32,32
ebtn.o,0.901578%,60,1702,1702,0,0,60
oled.o,0.330579%,22,3870,1136,2712,22,0
sampling_control.o,0.180316%,12,716,704,0,12,0
ff.o,0.120210%,8,5861,5840,13,8,0
led_app.o,0.105184%,7,139,132,0,7,0
systick.o,0.060105%,4,148,144,0,4,0
system_gd32f4xx.o,0.060105%,4,518,514,0,4,0
